Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-01-29T14:31:00Z,SPY,352.507824383,-39,Market,Filled,-13747.805150937,"Liquidated" 
2021-01-29T14:31:00Z,QQQ,311.815804248,-44,Market,Filled,-13719.895386912,"Liquidated" 
2021-01-29T14:31:00Z,QQQ,311.815804248,25,Market,Filled,7795.3951062,"" 
2021-01-29T14:31:00Z,SPY,352.507824383,21,Market,Filled,7402.664312043,"" 
2021-02-05T14:31:00Z,SPY,360.498362679,-21,Market,Filled,-7570.465616259,"Liquidated" 
2021-02-05T14:31:00Z,QQQ,320.471963136,-25,Market,Filled,-8011.7990784,"Liquidated" 
2021-02-05T14:31:00Z,SPY,360.498362679,38,Market,Filled,13698.937781802,"" 
2021-02-05T14:31:00Z,QQQ,320.471963136,43,Market,Filled,13780.294414848,"" 
2021-02-12T14:31:00Z,SPY,364.717665611,-38,Market,Filled,-13859.271293218,"Liquidated" 
2021-02-12T14:31:00Z,QQQ,324.683592012,-43,Market,Filled,-13961.394456516,"Liquidated" 
2021-02-12T14:31:00Z,SPY,364.717665611,38,Market,Filled,13859.271293218,"" 
2021-02-12T14:31:00Z,QQQ,324.683592012,39,Market,Filled,12662.660088468,"" 
2021-02-22T14:31:00Z,SPY,364.082903223,-38,Market,Filled,-13835.150322474,"Liquidated" 
2021-02-22T14:31:00Z,QQQ,321.228891828,-39,Market,Filled,-12527.926781292,"Liquidated" 
2021-02-22T14:31:00Z,SPY,364.082903223,38,Market,Filled,13835.150322474,"" 
2021-02-22T14:31:00Z,QQQ,321.228891828,43,Market,Filled,13812.842348604,"" 
2021-03-01T14:31:00Z,SPY,355.056208676,-38,Market,Filled,-13492.135929688,"Liquidated" 
2021-03-01T14:31:00Z,QQQ,304.848178596,-43,Market,Filled,-13108.471679628,"Liquidated" 
2021-03-01T14:31:00Z,GLD,161.81,83,Market,Filled,13430.23,"" 
2021-03-01T14:31:00Z,SPY,355.056208676,19,Market,Filled,6746.067964844,"" 
2021-03-08T14:31:00Z,SPY,358.108668983,-19,Market,Filled,-6804.064710677,"Liquidated" 
2021-03-08T14:31:00Z,GLD,159.14,-83,Market,Filled,-13208.62,"Liquidated" 
2021-03-08T14:31:00Z,SPY,358.108668983,14,Market,Filled,5013.521365762,"" 
2021-03-08T14:31:00Z,QQQ,299.549677752,17,Market,Filled,5092.344521784,"" 
2021-03-15T13:31:00Z,SPY,367.844803846,-14,Market,Filled,-5149.827253844,"Liquidated" 
2021-03-15T13:31:00Z,QQQ,306.129134844,-17,Market,Filled,-5204.195292348,"Liquidated" 
2021-03-15T13:31:00Z,QQQ,306.129134844,33,Market,Filled,10102.261449852,"" 
2021-03-15T13:31:00Z,SPY,367.844803846,36,Market,Filled,13242.412938456,"" 
2021-03-22T13:31:00Z,SPY,364.76009388,-36,Market,Filled,-13131.36337968,"Liquidated" 
2021-03-22T13:31:00Z,QQQ,303.877757196,-33,Market,Filled,-10027.965987468,"Liquidated" 
2021-03-22T13:31:00Z,GLD,163.24,82,Market,Filled,13385.68,"" 
2021-03-22T13:31:00Z,SPY,364.76009388,27,Market,Filled,9848.52253476,"" 
2021-03-29T13:31:00Z,SPY,370.84754538,-27,Market,Filled,-10012.88372526,"Liquidated" 
2021-03-29T13:31:00Z,GLD,162.24,-82,Market,Filled,-13303.68,"Liquidated" 
2021-03-29T13:31:00Z,GLD,162.24,83,Market,Filled,13465.92,"" 
2021-03-29T13:31:00Z,QQQ,307.040136,30,Market,Filled,9211.20408,"" 
2021-04-06T13:31:00Z,QQQ,321.6634083,-30,Market,Filled,-9649.902249,"Liquidated" 
2021-04-06T13:31:00Z,GLD,161.92,-83,Market,Filled,-13439.36,"Liquidated" 
2021-04-06T13:31:00Z,QQQ,321.6634083,42,Market,Filled,13509.8631486,"" 
2021-04-06T13:31:00Z,GLD,161.92,84,Market,Filled,13601.28,"" 
2021-04-13T13:31:00Z,QQQ,327.12405882,-42,Market,Filled,-13739.21047044,"Liquidated" 
2021-04-13T13:31:00Z,GLD,162.28,-84,Market,Filled,-13631.52,"Liquidated" 
2021-04-13T13:31:00Z,GLD,162.28,85,Market,Filled,13793.8,"" 
2021-04-13T13:31:00Z,SPY,385.51362084,35,Market,Filled,13492.9767294,"" 
2021-04-20T13:31:00Z,SPY,388.85703651,-35,Market,Filled,-13609.99627785,"Liquidated" 
2021-04-20T13:31:00Z,GLD,165.89,-85,Market,Filled,-14100.65,"Liquidated" 
2021-04-20T13:31:00Z,GLD,165.89,84,Market,Filled,13934.76,"" 
2021-04-20T13:31:00Z,SPY,388.85703651,36,Market,Filled,13998.85331436,"" 
2021-04-27T13:31:00Z,SPY,391.10471091,-36,Market,Filled,-14079.76959276,"Liquidated" 
2021-04-27T13:31:00Z,GLD,166.84,-84,Market,Filled,-14014.56,"Liquidated" 
2021-04-27T13:31:00Z,GLD,166.84,84,Market,Filled,14014.56,"" 
2021-04-27T13:31:00Z,SPY,391.10471091,36,Market,Filled,14079.76959276,"" 
2021-05-04T13:31:00Z,SPY,391.6572642,-36,Market,Filled,-14099.6615112,"Liquidated" 
2021-05-04T13:31:00Z,GLD,167.81,-84,Market,Filled,-14096.04,"Liquidated" 
2021-05-04T13:31:00Z,SPY,391.6572642,36,Market,Filled,14099.6615112,"" 
2021-05-04T13:31:00Z,GLD,167.81,84,Market,Filled,14096.04,"" 
2021-05-11T13:31:00Z,SPY,391.41376614,-36,Market,Filled,-14090.89558104,"Liquidated" 
2021-05-11T13:31:00Z,GLD,172.11,-84,Market,Filled,-14457.24,"Liquidated" 
2021-05-11T13:31:00Z,SPY,391.41376614,36,Market,Filled,14090.89558104,"" 
2021-05-11T13:31:00Z,QQQ,316.52340096,41,Market,Filled,12977.45943936,"" 
2021-05-18T13:31:00Z,SPY,389.14736112,-36,Market,Filled,-14009.30500032,"Liquidated" 
2021-05-18T13:31:00Z,QQQ,315.21167886,-41,Market,Filled,-12923.67883326,"Liquidated" 
2021-05-18T13:31:00Z,GLD,174.7,81,Market,Filled,14150.7,"" 
2021-05-18T13:31:00Z,SPY,389.14736112,36,Market,Filled,14009.30500032,"" 
2021-05-25T13:31:00Z,SPY,392.56569927,-36,Market,Filled,-14132.36517372,"Liquidated" 
2021-05-25T13:31:00Z,GLD,176.35,-81,Market,Filled,-14284.35,"Liquidated" 
2021-05-25T13:31:00Z,SPY,392.56569927,36,Market,Filled,14132.36517372,"" 
2021-05-25T13:31:00Z,QQQ,323.08201146,44,Market,Filled,14215.60850424,"" 
2021-06-02T13:31:00Z,SPY,393.03396477,-36,Market,Filled,-14149.22273172,"Liquidated" 
2021-06-02T13:31:00Z,QQQ,323.38322172,-44,Market,Filled,-14228.86175568,"Liquidated" 
2021-06-02T13:31:00Z,GLD,177.9,81,Market,Filled,14409.9,"" 
2021-06-02T13:31:00Z,SPY,393.03396477,36,Market,Filled,14149.22273172,"" 
2021-06-09T13:31:00Z,SPY,395.47831068,-36,Market,Filled,-14237.21918448,"Liquidated" 
2021-06-09T13:31:00Z,GLD,177.32,-81,Market,Filled,-14362.92,"Liquidated" 
2021-06-09T13:31:00Z,GLD,177.32,81,Market,Filled,14362.92,"" 
2021-06-09T13:31:00Z,SPY,395.47831068,36,Market,Filled,14237.21918448,"" 
2021-06-16T13:31:00Z,SPY,397.53867888,-36,Market,Filled,-14311.39243968,"Liquidated" 
2021-06-16T13:31:00Z,GLD,174.05,-81,Market,Filled,-14098.05,"Liquidated" 
2021-06-16T13:31:00Z,SPY,397.53867888,36,Market,Filled,14311.39243968,"" 
2021-06-16T13:31:00Z,QQQ,332.55555996,43,Market,Filled,14299.88907828,"" 
2021-06-23T13:31:00Z,SPY,397.551871206,-36,Market,Filled,-14311.867363416,"Liquidated" 
2021-06-23T13:31:00Z,QQQ,338.106572582,-43,Market,Filled,-14538.582621026,"Liquidated" 
2021-06-23T13:31:00Z,SPY,397.551871206,36,Market,Filled,14311.867363416,"" 
2021-06-23T13:31:00Z,QQQ,338.106572582,42,Market,Filled,14200.476048444,"" 
2021-06-30T13:31:00Z,SPY,401.86461042,-36,Market,Filled,-14467.12597512,"Liquidated" 
2021-06-30T13:31:00Z,QQQ,345.324545274,-42,Market,Filled,-14503.630901508,"Liquidated" 
2021-06-30T13:31:00Z,SPY,401.86461042,36,Market,Filled,14467.12597512,"" 
2021-06-30T13:31:00Z,QQQ,345.324545274,42,Market,Filled,14503.630901508,"" 
2021-07-08T13:31:00Z,SPY,408.216269916,-36,Market,Filled,-14695.785716976,"Liquidated" 
2021-07-08T13:31:00Z,QQQ,351.12226997,-42,Market,Filled,-14747.13533874,"Liquidated" 
2021-07-08T13:31:00Z,GLD,168.76,88,Market,Filled,14850.88,"" 
2021-07-08T13:31:00Z,SPY,408.216269916,36,Market,Filled,14695.785716976,"" 
2021-07-15T13:31:00Z,SPY,409.888748304,-36,Market,Filled,-14755.994938944,"Liquidated" 
2021-07-15T13:31:00Z,GLD,171.04,-88,Market,Filled,-15051.52,"Liquidated" 
2021-07-15T13:31:00Z,SPY,409.888748304,36,Market,Filled,14755.994938944,"" 
2021-07-15T13:31:00Z,QQQ,353.184547882,42,Market,Filled,14833.751011044,"" 
2021-07-22T13:31:00Z,SPY,408.30083343,-36,Market,Filled,-14698.83000348,"Liquidated" 
2021-07-22T13:31:00Z,QQQ,351.715661256,-42,Market,Filled,-14772.057772752,"Liquidated" 
2021-07-22T13:31:00Z,SPY,408.30083343,36,Market,Filled,14698.83000348,"" 
2021-07-22T13:31:00Z,QQQ,351.715661256,42,Market,Filled,14772.057772752,"" 
2021-07-29T13:31:00Z,SPY,412.322298318,-36,Market,Filled,-14843.602739448,"Liquidated" 
2021-07-29T13:31:00Z,QQQ,355.869400258,-42,Market,Filled,-14946.514810836,"Liquidated" 
2021-07-29T13:31:00Z,GLD,169.29,89,Market,Filled,15066.81,"" 
2021-07-29T13:31:00Z,SPY,412.322298318,36,Market,Filled,14843.602739448,"" 
2021-08-05T13:31:00Z,SPY,412.463237508,-36,Market,Filled,-14848.676550288,"Liquidated" 
2021-08-05T13:31:00Z,GLD,169.53,-89,Market,Filled,-15088.17,"Liquidated" 
2021-08-05T13:31:00Z,SPY,412.463237508,36,Market,Filled,14848.676550288,"" 
2021-08-05T13:31:00Z,QQQ,357.338286884,42,Market,Filled,15008.208049128,"" 
2021-08-12T13:31:00Z,SPY,416.973291588,-36,Market,Filled,-15011.038497168,"Liquidated" 
2021-08-12T13:31:00Z,QQQ,356.239053846,-42,Market,Filled,-14962.040261532,"Liquidated" 
2021-08-12T13:31:00Z,SPY,416.973291588,36,Market,Filled,15011.038497168,"" 
2021-08-12T13:31:00Z,QQQ,356.239053846,42,Market,Filled,14962.040261532,"" 
2021-08-19T13:31:00Z,SPY,412.651156428,-36,Market,Filled,-14855.441631408,"Liquidated" 
2021-08-19T13:31:00Z,QQQ,352.347963446,-42,Market,Filled,-14798.614464732,"Liquidated" 
2021-08-19T13:31:00Z,SPY,412.651156428,33,Market,Filled,13617.488162124,"" 
2021-08-19T13:31:00Z,GLD,167.1,90,Market,Filled,15039,"" 
2021-08-26T13:31:00Z,SPY,421.793411886,-33,Market,Filled,-13919.182592238,"Liquidated" 
2021-08-26T13:31:00Z,GLD,167.48,-90,Market,Filled,-15073.2,"Liquidated" 
2021-08-26T13:31:00Z,SPY,421.793411886,36,Market,Filled,15184.562827896,"" 
2021-08-26T13:31:00Z,GLD,167.48,90,Market,Filled,15073.2,"" 
2021-09-02T13:31:00Z,SPY,424.50884028,-36,Market,Filled,-15282.31825008,"Liquidated" 
2021-09-02T13:31:00Z,GLD,169.7,-90,Market,Filled,-15273,"Liquidated" 
2021-09-02T13:31:00Z,SPY,424.50884028,36,Market,Filled,15282.31825008,"" 
2021-09-02T13:31:00Z,QQQ,370.217796108,41,Market,Filled,15178.929640428,"" 
2021-09-10T13:31:00Z,SPY,421.859183508,-36,Market,Filled,-15186.930606288,"Liquidated" 
